"z","y0","y1","mu0","mu1"
0,0.131380409090404,9.37197872722093,1.10385331887161,8.88973009712087
1,14.6993099561245,-2.84661816361678,12.3105984399043,-2.14813681007126
0,2.6724473753452,11.297965047241,2.88232506292266,10.3579723890547
1,5.81553623328393,6.58689662342312,6.13507287083435,5.78976108324927
1,-1.38705711488183,3.90513337164924,-0.800179533732164,3.74909225326022
0,-0.764827388236996,5.10064985577646,-0.47274195454723,6.17938278374933
1,0.415182700803754,9.28757718516407,1.66073629194141,9.45041473357678
1,6.02221435787108,5.26666948078042,3.97298256241533,4.96053533985092
1,3.87461474739886,2.12517760646574,4.535448773909,3.08978289914828
1,3.89227830172672,13.0913239163825,3.24162992389727,12.605290794228
1,3.77227451697102,11.3468468647017,3.73068767197937,10.6765399577448
0,6.61980420721488,8.13158536354227,7.43599934199858,8.37683319507278
1,-1.66033785231222,7.93771122542083,0.0179752675492577,6.57959873821435
0,1.13486980948348,9.4844026847634,1.31452752408584,9.73379722083754
1,-1.30152525772208,7.69626726871471,-0.533158393389617,6.61511972789205
1,3.78843685945383,9.43488971740195,3.60383582252737,8.93902049204531
1,1.6688495772817,8.49521981750209,1.80784126369478,8.31562292632168
1,1.96403017159332,5.47394522231029,0.808878985845481,6.66227027207784
1,1.27786205675987,9.56111424969254,2.85210262330055,10.3069604495579
1,0.28022913670175,6.00281858357031,-0.454699722908342,5.49369274402286
1,0.192152718621953,2.65056302832864,0.421259405351908,3.24227963956674
1,4.60483756876385,2.4953787150929,4.89227816516829,3.59350000792413
1,2.56001301293161,11.2544107011837,2.07884612479184,11.0855940294989
0,5.82981290352969,11.4634529215631,5.78283609396487,10.7644260576597
1,3.16626773307015,9.0196959839815,2.37329475059139,8.6442210384158
0,1.87109050396994,7.4225461021428,0.825611114192944,6.72325495046112
1,2.65524345236411,8.20227225404425,2.6417553693849,9.83774402073303
1,2.48417367122992,8.08599563573319,1.28623445197197,8.65475023539734
1,15.3844009292927,4.02093967114583,14.9596206701386,2.8101700069483
1,2.53304334519217,9.6502305287231,2.12379189642715,8.91443211376381
0,-0.6132380323707,8.30139038636499,0.726951757373955,6.49120799527672
1,2.2971031718032,8.65464422328643,2.52602053326382,6.46682382106801
0,2.74217645142082,10.5970385777603,2.33452329440941,9.27012204013515
0,1.7269243139428,7.53308573972304,1.24609665777656,7.59621041848158
1,-0.74271651093676,8.12050383114069,0.0752061337585759,6.93700886403419
1,2.33588755542943,2.13303817924808,1.69999276352284,1.74226933291928
1,2.03075950695978,10.6025588261969,2.70127722301467,10.1012080894568
1,-0.332470399573466,7.76950732504743,0.288721033861587,7.08563610177736
1,5.61220243918177,10.9047840993125,4.50358647719145,10.1979671332913
0,2.47748464492041,10.2035701947294,2.71803488391558,10.1294930589918
1,0.647977749583949,7.68061214952639,1.08173151864581,7.25358393376832
0,0.253280519420199,8.2437840491287,1.40898077016994,7.87113972896401
1,3.90805621034087,12.463536638042,3.1480435060805,12.8902740224586
1,0.728305095244914,2.53820703743875,1.39830082396758,2.87677643154554
0,1.37390476565566,5.9448565477231,1.48157640696009,7.60042912243683
1,1.14557008145819,8.80873170893909,1.15273027474816,8.3801717285136
